   Vāhaṭa: Aṣṭāṅganighaṇṭu	VAhawa: Azwa-aFga-niGaNwu
   tālamāmalakīdalam VAnigh_285b	tAlam-AmalakI-dalam VAniG_285b
   tālīśapattraṃ tālīśaṃ VAnigh_285a	tAlISapattram tAlISam Va-aniG_285a
   tiktā ca kaṭukā jñeyā VAnigh_167c	tiktA ca kawukA jQeyAH VAniG_167c
   tintiḍīkas tu vṛkṣāmlo VAnigh_221a	tintixIkaH tu vRkzAmlaH VAniG_221a
   tindukī viralā smṛtā VAnigh_177b	tindukI viralA smRtA VAniG_177b
   tirīṭaḥ paṭṭikāhvayaḥ VAnigh_115b	tirIwaH pawwikA-AhvayaH VAniG_115b
   tilakaḥ pūrṇakaḥ śrīmān VAnigh_319c	tilakaH pUrNakaH SrImAn VAniG_319c
   tilajaṃ tilasambhavam VAnigh_328b	tila-jam tila-samBavam VAniG_328b
   tilaparṇī ca sā smṛtā VAnigh_264d	tilaparNI ca sA smRtAH VAniG_264d
   tilaḥ snehaphalaḥ sneha- VAnigh_340c	tilaH sneha-PalaH sneha Va-aniG_340c
   tilā kaṭvī matsyapittā VAnigh_38c	tilA kawvI matsya-pittAH Va-aniG_38c
   tilākhyā phalanābhikā VAnigh_256b	tila-AKyA Pala-nABikA VAniG_256b
   tilvakaḥ śikharī śveta- VAnigh_199c	tilvakaH SiKarI Sveta Va-aniG_199c
   tīkṣṇagandhaḥ sugandhikaḥ VAnigh_132b	tIkzNaganDaH suganDikaH VAniG_132b
   tīkṣṇapattraḥ kutumburuḥ VAnigh_249b	tIkzNapattraH kutumburuH VAniG_249b
   tīkṣṇapattrā marudbhavā VAnigh_165d	tIkzNa-pattrA marut-BavAH VAniG_165d
   tīkṣṇavṛkṣaḥ śaṇaḥ pīluḥ VAnigh_201c	tIkzNavRkzaH SaNaH pIluH VAniG_201c
   tīkṣṇākhyaṃ sūkṣmalohakam VAnigh_311b	tIkzNa-AKyam sUkzmalohakam VAniG_311b
   tuṅgadruḥ kūrcaśekharaḥ VAnigh_269b	tuFgadruH kUrca-SeKaraH VAniG_269b
   tuṅgākhyo raktakesaraḥ VAnigh_162b	tuFga-AKyaH raktakesaraH VAniG_162b
   tumbikā tiktabījakā VAnigh_259d	tumbikA tikta-bIjakAH VAniG_259d
   tumburus tīkṣṇavalkaś ca VAnigh_249a	tumburuH tIkzNavalkaH ca Va-aniG_249a
   turyatuṇḍī śilācchedī VAnigh_277a	turyatuNxI SilAcCedI VAniG_277a
   tulyas tu rasavīryataḥ VAnigh_27d	tulyaH tu rasa-vIryataH VAniG_27d
   tuṣodaṃ tu tuṣodakam VAnigh_331d	tuzodam tu tuzodakam VAniG_331d
   tṛṇarājas tribījakaḥ VAnigh_86b	tRNarAjaH tribIjakaH VAniG_86b
   tṛṇmūtrāmayavātajit VAnigh_48d	tRz-mUtra-Amaya-vAta-jit Va-aniG_48d
   tṛtīyaṃ varṇakṛddhimam VAnigh_85d	tRtIyam varNa-kRt-himam VAniG_85d
   tṛtīyā kṛṣṇakāmbhojī VAnigh_225a	tRtIyA kRzNa-kAmBojI VAniG_225a
   tṛtīyo madhuraḥ siṃśa- VAnigh_95c	tRtIyaH maDuraH siMSa Va-aniG_95c
   tṛṣṇāghnaḥ sūkṣmapattrakaḥ VAnigh_209b	tRzNA-GnaH sUkzmapattrakaH VAniG_209b
   teṣāṃ phalaṃ tu kumbhīkaṃ VAnigh_316a	tezAm Palam tu kumBIkam Va-aniG_316a
   tailapātraṃ kutūḥ smṛtā VAnigh_379b	tEla-pAtram kutUH smRtA VAniG_379b
   tailam abhyañjanavaraṃ VAnigh_328a	tElam aByaQjana-varam Va-aniG_328a
   toyakṣobhakaraḥ kumbhī VAnigh_268a	toya-kzoBa-karaH kumBI VA-aniG_268a
   toyacchadā vāriparṇī VAnigh_313a	toyacCadA vAriparNI VAniG_313a
   toyavallī sukāṇḍakā VAnigh_276b	toyavallI sukANxakAH VAniG_276b
   toyaṃ codakavāriṇī VAnigh_323b	toyam ca-udaka-vAriNI VAniG_323b
   trapusaṃ trapusaṃjñaṃ ca VAnigh_307c	trapusam trapu-saMjQam ca Va-aniG_307c
   trāyantī trāyamāṇā ca VAnigh_209c	trAyantI trAyamANA ca Va-aniG_209c
   trikaṭu tryūṣaṇaṃ vyoṣaṃ VAnigh_342a	trikawu tryUzaNam vyozam Va-aniG_342a
   triparṇy atiguhā saumyā VAnigh_18c	triparNI ati-guhA sOmyAH Va-aniG_18c
   tripādī kīṭamārikā VAnigh_22b	tripAdI kIwamArikA VAniG_22b
   tripuṣpaḥ kṛṣṇadhuttūraḥ VAnigh_239c	tripuzpaH kRzNa-DuttUraH Va-aniG_239c
   triyāmā coravallabhā VAnigh_390d	triyAmA cora-vallaBA VAniG_390d
   trilohaṃ pañcalohakam VAnigh_308d	triloham paQcalohakam VAniG_308d
   trisugandhi trijātakam VAnigh_342d	trisuganDi trijAtakam VAniG_342d
   trihimatalapalāśāḥ joṅgakaḥ śākaśālau VAnigh_79c	trihima-tala-palASAH joFgakaH SAka-SAlO Va-aniG_79c
   tryambakastripurāntakaḥ VAnigh_395b	tryambakaH-tripurAntakaH VAniG_395b
   tvak carma valkalaṃ proktaṃ VAnigh_401c	tvac carma valkalam proktam Va-aniG_401c
   tvak tirīṭo bṛhacchadaḥ VAnigh_199d	tvac tirIwaH bRhacCadaH VAniG_199d
   tviṣāṃpatir aharpatiḥ VAnigh_385d	tvizAMpatiH aharpatiH VAniG_385d
   tv eṇas tvakkomalaḥ smṛtaḥ VAnigh_348b	tu eNaH tvak-komalaH smRtaH VAniG_348b
   dadrughnaś cakramardakaḥ VAnigh_253b	dadruGnaH cakramardakaH VAniG_253b
   dadhināmā ca kīrtitaḥ VAnigh_188b	daDi-nAmA ca kIrtitaH VAniG_188b
   dadhipuṣpī tu khaṭvāṅgī VAnigh_255c	daDipuzpI tu KawvAFgI VAniG_255c
   dadhi māṅgalyakaṃ caiva VAnigh_324c	daDi mAFgalyakam ca-eva Va-aniG_324c
   dantī syād upacitrakā VAnigh_193d	dantI syAt upacitrakAH VAniG_193d
   damanaḥ pāṇḍurāgaḥ syāt VAnigh_322c	damanaH pANxu-rAgaH syAt Va-aniG_322c
   darbhaḥ kuśo lavaḥ sthūlaḥ VAnigh_96c	darBaH kuSaH lavaH sTUlaH VAniG_96c
   darvīkaro dīrghapṛṣṭho VAnigh_361c	darvIkaraH dIrGapRzWaH VAniG_361c
   dalottho dalajo rasaḥ VAnigh_404d	dala-utTaH dala-jaH rasaH VAniG_404d
   daśamūlaṃ daśāṅghrikam VAnigh_341d	daSamUlam daSAFGrikam VAniG_341d
   daśānāṃ jīvanīyānāṃ VAnigh_47c	daSAnAm jIvanIyAnAm Va-aniG_47c
   dahanamoraṭabilvaviṣāṇikāḥ VAnigh_90b	dahana-morawa-bilva-vizANikAH VAniG_90b
   daṃśastu vanamakṣikā VAnigh_369d	daMSaH-tu vanamakzikA VAniG_369d
   daṃṣṭrī ghoṇī ca romaśaḥ VAnigh_349b	daMzwrI GoNI ca romaSaH VAniG_349b
   dāmodaro hṛṣīkeśaḥ VAnigh_398c	dAmodaraH hRzIkeSaH Va-aniG_398c
   dārvī kaṭaṃkaṭerī ca VAnigh_153c	dArvI kawaMkawerI ca Va-aniG_153c
   dāvāgnidamanī mātā VAnigh_223c	dAva-agni-damanI mAtA Va-aniG_223c
   dāsī kāntā pracībalā VAnigh_283d	dAsI kAntA pracIbalAH VAniG_283d
   dāhatṛṣṇāghnam agnikṛt VAnigh_66d	dAha-tRzNA-Gnam agni-kRt VAniG_66d
   dāhapittāsratṛḍjvarān VAnigh_23d	dAha-pittAsra-tRz-jvarAn VAniG_23d
   dināhanī vāsaraś ca VAnigh_391a	dina-ahanI vAsaraH ca Va-aniG_391a
   dīpyakaṃ tv ajamodas tu VAnigh_147c	dIpyakam tu ajamodaH tu Va-aniG_147c
   dīrghamūlaṃ jalāvāsaṃ VAnigh_313c	dIrGa-mUlam jala-AvAsam VAniG_313c
   dīrghalohitayaṣṭikā VAnigh_107d	dIrGalohita-yazwikAH VAniG_107d
   dīrghavṛnto mahānimbaḥ VAnigh_147a	dIrGavRntaH mahAnimbaH VAniG_147a
   durārohā kharaskandhā VAnigh_281a	durArohA Kara-skanDAH VAniG_281a
   durālabhā dhanvayāso VAnigh_210a	durAlaBAH DanvayAsaH VAniG_210a
   durdharṣā kuṇḍalī smṛtā VAnigh_178d	durDarzA kuNxalI smRtAH VAniG_178d
   durmadaḥ surabhicchadaḥ VAnigh_267d	durmadaH suraBicCadaH VAniG_267d
   duṣṭavraṇaviśodhanaḥ VAnigh_69d	duzwavraNa-viSoDanaH VAniG_69d
   devagandhā balāhvayā VAnigh_10b	devaganDA bala-AhvayA VAniG_10b
   devadālī ca karkoṭī VAnigh_240a	devadAlI ca karkowI Va-aniG_240a
   devaparyāyavācakaḥ VAnigh_117b	deva-paryAya-vAcakaH VAniG_117b
   devāhvā bhadramustakam VAnigh_151d	devAhvA Badramustakam VAniG_151d
   dehasaṃdhānadhāraṇam VAnigh_375b	deha-saMDAna-DAraNam VAniG_375b
   daityāriḥ puruṣottamaḥ VAnigh_397d	dEtyAriH puruzottamaH VAniG_397d
   doṣā naktaṃ niśā kṣapā VAnigh_390b	dozAH naktam niSA kzapA VAniG_390b
   dravanty undurukarṇikā VAnigh_194b	dravanti unduru-karNikA VAniG_194b
   dravāhvam amṛtāsaṅga- VAnigh_61c	dravAhvam amRta-AsaFga Va-aniG_61c
   dravyāṇāṃ gūḍhavācinām VAnigh_1b	dravyANAm gUXa-vAcinAm VAniG_1b
   drākṣā mṛduphalā tathā VAnigh_52b	drAkzA mRduPalA taTA VAniG_52b
   drāvaṇī kaṇṭakārikā VAnigh_19b	drAvaNI kaNwakArikA VAniG_19b
   droṇakākastu kṛṣṭalaḥ VAnigh_355b	droNakAkaH-tu kRzwalaH VAniG_355b
   droṇapuṣpī kutumbikā VAnigh_251b	droNapuzpI kutumbikA VAniG_251b
   dvādaśātmā divākaraḥ VAnigh_384b	dvAdaSa-AtmA divAkaraH VAniG_384b
   dvijayaṣṭiḥ sugandhikā VAnigh_125b	dvijayazwiH suganDikA VAniG_125b
   dvijarājaḥ śaśadharo VAnigh_387c	dvija-rAjaH SaSaDaraH Va-aniG_387c
   dvijihvaś ca bileśayaḥ VAnigh_362b	dvijihvaH ca bileSayaH VAniG_362b
   dvitīyam amladāḍimam VAnigh_55b	dvitIyam amla-dAximam VAniG_55b
   dvitīyaṃ puṣpasaṃjñakam VAnigh_101b	dvitIyam puzpa-saMjQakam VAniG_101b
   dvitīyaḥ kākatindukaḥ VAnigh_177d	dvitIyaH kAkatindukaH VAniG_177d
   dvitīyaḥ śābaraḥ śveto VAnigh_115c	dvitIyaH SAbaraH SvetaH VAniG_115c
   dvitīyā tu prativiṣā VAnigh_146c	dvitIyA tu prativizA Va-aniG_146c
   dvipaṃ ca mūlaṃ daśakaṃ VAnigh_341c	dvipam ca mUlam daSakam Va-aniG_341c
   dvipuṣpī puṣpaṭī tathā VAnigh_320d	dvipuzpI puzpawI taTA VAniG_320d
   dvibṛhatīdvikarañjajayādvayaṃ VAnigh_90c	dvi-bRhatI-dvi-karaQja-jayA-dvayam Va-aniG_90c
   dvirephaḥ puṣpaliḍ bhṛṅgaḥ VAnigh_368a	dvirePaH puzpalih BRFgaH VAniG_368a
   dve pañcake gopasutā tripādī VAnigh_2d	dve paQcake gopa-sutA tripAdI VA-niG_2d
   dveṣī kāsarasairibhau VAnigh_371b	dvezI kAsara-sEriBO VAniG_371b
   dhanikā dhānyakaṃ tathā VAnigh_67d	DanikA DAnyakam taTA VAniG_67d
   dharā dharitrī dharaṇī VAnigh_380c	DarA DaritrI DaraNI Va-aniG_380c
   dhavo dṛḍhatarur gauraḥ VAnigh_88a	DavaH dRXataruH gOraH VAniG_88a
   dhātakī madayantikā VAnigh_163b	DAtakI madayantikA VAniG_163b
   dhātrī cāmalakī śivā VAnigh_51d	DAtrI ca-AmalakI SivAH VAniG_51d
   dhānakāraktacandanam VAnigh_66b	DAnakA-raktacandanam VAniG_66b
   dhānyakaṃ raktaśūkaraḥ VAnigh_333b	DAnyakam raktaSUkaraH VAniG_333b
   dhānyā kustumburuḥ dhānyaṃ VAnigh_67c	DAnyA kustumburuH DAnyam Va-aniG_67c
   dhāmārgavaḥ kośaphalo VAnigh_240c	DAmArgavaH koSaPalaH Va-aniG_240c
   dhāvanī kalaśī guhā VAnigh_17b	DAvanI kalaSI guhA VAniG_17b
   dhīraśauryakaghośvarāḥ VAnigh_74b	DIra-SOryaka-GoSvarAH VAniG_74b
   dhuttūro hemanāmakaḥ VAnigh_239b	DuttUraH hema-nAmakaH VAniG_239b
   dhūrjaṭir nīlalohitaḥ VAnigh_394d	DUrjawiH nIlalohitaH VAniG_394d
   dhūsaro gardabhaḥ kharaḥ VAnigh_345b	DUsaraH gardaBaH KaraH VAniG_345b
   dhṛtarāṣṭrapadī caiva VAnigh_22c	DRtarAzwra-padI ca-eva Va-aniG_22c
   dhyāmakaṃ śabalaṃ gandhaṃ VAnigh_183c	DyAmakam Sabalam ganDam Va-aniG_183c
   dhvāṅkṣolī kṣīraśuklikā VAnigh_15b	DvAFkzolI kzIraSuklikA VAniG_15b
   nakulaḥ sarpabhakṣakaḥ VAnigh_363b	nakulaH sarpaBakzakaH VAniG_363b
   nakrāhidaṃṣṭrikā kolī VAnigh_7c	nakra-ahi-daMzwrikA kolI Va-aniG_7c
   nakṣatreśaḥ kṣapākaraḥ VAnigh_387d	nakzatreSaH kzapA-karaH VAniG_387d
   nataṃ kālānusāri ca VAnigh_185d	natam kAlAnusAri ca VAniG_185d
   nadīstho nalako nalaḥ VAnigh_109d	nadIsTaH nalakaH nalaH VAniG_109d
   nandīvṛkṣapalāśakacchurā VAnigh_155b	nandI-vRkza-palASa-kacCurA VAniG_155b
   nandīvṛkṣaḥ prarohī ca VAnigh_165a	nandIvRkzaH prarohI ca Va-aniG_165a
   'napāyī jalanūpuraḥ VAnigh_211b	anapAyI jala-nUpuraH VAniG_211b
   namaskārī raktamūlā VAnigh_161c	namaskArI rakta-mUlAH VAniG_161c
   namerur devapuṃnāgaḥ VAnigh_162c	nameruH deva-puMnAgaH Va-aniG_162c
   nalikā suṣirā śūnyā VAnigh_274c	nalikA suzirA SUnyAH Va-aniG_274c
   nalinaṃ puṣkaraṃ padmam VAnigh_59a	nalinam puzkaram padmam VAniG_59a
   navanītaṃ ghṛtālayaḥ VAnigh_325d	navanItam GRta-AlayaH VAniG_325d
   navanītā prakīrtitā VAnigh_228d	navanItA prakIrtitAH VAniG_228d
   nākulī nakulapriyā VAnigh_205d	nAkulI nakula-priyA VAniG_205d
   nāgajihvā śvetaphalā VAnigh_227c	nAgajihvA SvetaPalAH Va-aniG_227c
   nāgadantī śvetaghaṇṭā VAnigh_124a	nAgadantI Sveta-GaNwA VAniG_124a
   nāgaraṃ viśvabheṣajam VAnigh_33b	nAgaram viSvaBezajam VAniG_33b
   nāgarātiviṣāmayāḥ VAnigh_149b	nAgara-ativizA-AmayAH VAniG_149b
   nāginī pūrvapuṣpikā VAnigh_124b	nAginI pUrvapuzpikA VAniG_124b
   nāginī śūlinī nāga- VAnigh_254a	nAginI SUlinI nAga Va-aniG_254a
   nādeyaṃ lavaṇottamam VAnigh_101d	nAdeyam lavaNottamam VAniG_101d
   nādeyo jalajambukaḥ VAnigh_210d	nAdeyaH jalajambukaH VAniG_210d
   nādeyo vañjulaḥ prokto VAnigh_175c	nAdeyaH vaQjulaH proktaH VAniG_175c
   nāmnā sā śaṅkhayūthikā VAnigh_321d	nAmnA sA SaFKa-yUTikAH VAniG_321d
   nāraṅgas tvaksugandhākhya VAnigh_272c	nAraFgaH tvac-suganDa-AKya Va-aniG_272c
   nālinī nālahūlīkā VAnigh_363c	nAlinI nAlahUlIkAH VAniG_363c
   nāsatyāv aśvinau dasrāv VAnigh_408a	nAsatyO aSvinO dasrO VAniG_408a
   nāsāsaṃvedanaḥ kaṭuḥ VAnigh_37d	nAsA-saMvedanaH kawuH VAniG_37d
   nikumbhaḥ śambaras tathā VAnigh_193b	nikumBaH SambaraH taTA VAniG_193b
   nighaṇṭur abhidhīyate VAnigh_1d	niGaNwuH aBiDIyate VAniG_1d
   nimbacchadendravallī ca VAnigh_228a	nimba=-Cada-indravallI ca Va-aniG_228a
   nimbāmṛtāmadhurasāsruvavṛkṣapāṭhāḥ VAnigh_68b	nimba-amRtA-maDu-rasa-asruva-vRkza-pAWAH VAniG_68b
   nimbo 'riṣṭo guḍūcyādau VAnigh_67a	nimbaH arizwaH guxUcI-AdO VAniG_67a
   nirguṇḍī tinduvārakaḥ VAnigh_139b	nirguNxI tinduvArakaH VAniG_139b
   nirjharā jharapattrikā VAnigh_135d	nirJarA JarapattrikA VAniG_135d
   niryāso yas tu śālmalyāḥ VAnigh_160c	niryAsaH yaH tu SAlmalyAH VAniG_160c
   niśā kṣapā ca rātriś ca VAnigh_152c	niSA kzapA ca rAtriH ca Va-aniG_152c
   niśāhvā rajanī tathā VAnigh_153b	niSAhvA rajanI taTA VAniG_153b
   niṣpattraṃ ca mahāpuṣpaṃ VAnigh_302a	nizpattram ca mahA-puzpam VAniG_302a
   niṣpāvā śimbikā smṛtā VAnigh_340b	nizpAvA SimbikA smRtA VAniG_340b
   nihanti kaphapittakuṣṭhajvarān VAnigh_63c	nihanti kaPa-pitta-kuzWa-jvarAn VAniG_63c
   nīrapūrṇaphalaḥ śṛṅgī VAnigh_269c	nIra-pUrNaPalaH SRFgI VAniG_269c
   nīlakaṇṭho bhujaṃgabhuk VAnigh_352d	nIlakaNWaH BujaMgaBuj VA-niG_352d
   nīlapattrī kālanīlī VAnigh_283a	nIlapattrI kAlanIlI VAniG_283a
   nīlasyandā nīlapuṣpī VAnigh_199a	nIlasyandA nIlapuzpI VAniG_199a
   nīlaṃ nīlotpalaṃ tathā VAnigh_60d	nIlam nIlotpalam taTA VAniG_60d
   nīlākhyā girikarṇikā VAnigh_199b	nIla-AKyA girikarNikA VAniG_199b
   nīlinī cāraṭī jñeyā VAnigh_242a	nIlinI cArawI jQeyAH VAniG_242a
   nīlinī nīlapuṣpikā VAnigh_242b	nIlinI nIlapuzpikA VAniG_242b
   nīlinī nīlapuṣpikā VAnigh_283b	nIlinI nIlapuzpikA VAniG_283b
   netraṃ pādaḥ śiphā cāṅghriḥ VAnigh_401a	netram pAdaH SiPA ca-aFGriH VAniG_401a
   nyagrodhādir gaṇo vraṇyaḥ VAnigh_170a	nyagroDAdiH gaNaH vraNyaH VAniG_170a
   nyagrodhādau yakṣavāso VAnigh_171a	nyagroDAdO yakza-vAsaH VAniG_171a
   nyagrodhāhvā sutatreṇī VAnigh_194a	nyagroDAhvA sutatreNI VAniG_194a
   nyagrodho bahupād vaṭaḥ VAnigh_171b	nyagroDaH bahupAd vawaH VAniG_171b
   nyāgrodhapappalasadāphalarodhrayugmaṃ VAnigh_169a	nyAgroDa-pappala-sadAPala-roDra-yugmam Va-aniG_169a
   pakvaṃ phalamudāhṛtam VAnigh_404b	pakvam Palam-udAhRtam VAniG_404b
   pakvātīsāranāśanau VAnigh_156b	pakva-atIsAra-nASanO VAniG_156b
   paṅkajaṃ puṇḍarīkaṃ ca VAnigh_314a	paFkajam puNxarIkam ca Va-aniG_314a
   paṅkeruhaṃ tāmarasaṃ VAnigh_59c	paFkeruham tAmarasam VAniG_59c
   pañcakolaṃ pañcakaṭu VAnigh_342c	paQcakolam paQcakawu Va-aniG_342c
   pañcāṅgulī liṅgabījā VAnigh_276c	paQcAFgulI liFgabIjAH VAniG_276c
   pañcāṅgulo vardhamānaś VAnigh_6a	paQcAFgulaH varDamAnaH Va-aniG_6a
   pañcāsyo mṛgarāṭ siṃho VAnigh_346c	paQcAsyaH mRgarAj siMhaH VAniG_346c
   paṭolakaṭurohiṇīcandanaṃ VAnigh_63a	pawola-kawurohiNI-candanam Va-aniG_63a
   paṭolādis tu rājīmat VAnigh_64a	pawola-AdiH tu rAjImat Va-aniG_64a
   paṭvamlādityanāmikā VAnigh_222d	pawu-amla-Aditya-nAmikA VAniG_222d
   pataṃgaḥ śalabho jñeyaḥ VAnigh_370c	pataMgaH SalaBaH jQeyaH VAniG_370c
   pataṃgikā puttikā syāt VAnigh_369c	pataMgikA puttikA syAt Va-aniG_369c
   pataṃgo 'rko divākaraḥ VAnigh_382d	pataMgaH arkaH divAkaraH VAniG_382d
   pattūraḥ priyasaty api VAnigh_263b	pattUraH priyasatI api VAniG_263b
   pattrabhaṅgo mahāśyāmā VAnigh_223a	pattra-BaFgaH mahA-SyAmA VAniG_223a
   pattraṃ dalaṃ chadaḥ parṇaṃ VAnigh_402a	pattram dalam CadaH parNam Va-aniG_402a
   patraś ca yugmakaṇṭakaḥ VAnigh_142d	patraH ca yugmakaNwakaH VAniG_142d
   pathyāmṛtā haimavatī VAnigh_50c	paTyA-amRtA hEmavatI Va-aniG_50c
   padmakapuṇḍrau vṛddhitugarddhayaḥ śṛṅgy amṛtā daśa jīvanasaṃjñāḥ	padmaka-puNxrO vRdDi-tuga-RdDayaH SRFgI amRtAH daSa jIvana-saMjQAH
   VAnigh_42/a	Va-aniG_42/a
   padmakādigaṇaṃ vakṣye VAnigh_43a	padmaka-Adi-gaNam vakzye Va-aniG_43a
   padmakī markaṭāhvayā VAnigh_78d	padmakI markawAhvayA VAniG_78d
   padmādrajo yojanavallyanantā VAnigh_154b	padmAt-rajaH yojanavallI-anantA VAniG_154b
   padmā brāhmaṇayaṣṭikā VAnigh_41d	padmA brAhmaNa-yazwikAH VAniG_41d
   padmāsitāravindā ca VAnigh_157c	padma-asita-aravindA ca Va-aniG_157c
   [padmottaras] tālakumbho VAnigh_297c	[padma-uttaras] tAlakumBaH VAniG_297c
   padmotpalarasāñjanam VAnigh_56b	padma-utpala-rasAQjanam VAniG_56b
   panasaḥ kaṇṭakiphalaḥ VAnigh_274a	panasaH kaNwakiPalaH VAniG_274a
   payasyā payasī poṭa- VAnigh_16a	payasyA payasI powa VAniG_16a
   payaḥ kīlālamamṛtaṃ VAnigh_323c	payaH kIlAlam-amRtam Va-aniG_323c
   parabhūr balibhug dhvāṅkṣaś VAnigh_354c	paraBUH baliBuj DvAFkzaH Va-aniG_354c
   parā dīpanivāraṇī VAnigh_369b	parA dIpa-nivAraNI VAniG_369b
   parisvinnā ca sā smṛtā VAnigh_328d	parisvinnA ca sA smRtAH VAniG_328d
   paruṣakaṃ varā drākṣā VAnigh_48a	paruzakam varA drAkzA VAniG_48a
   paruṣako mṛduphalo VAnigh_29c	paruzakaH mRduPalaH VAniG_29c
   paruṣādigaṇaṃ vakṣye VAnigh_49a	paruza-Adi-gaNam vakzye Va-aniG_49a
   parjanyā ca pacampacā VAnigh_153d	parjanyA ca pacampacA VAniG_153d
   parṇakaḥ pūtikarṇakaḥ VAnigh_229b	parNakaH pUtikarNakaH VAniG_229b
   parṇī mārjāragandhikā VAnigh_11d	parNI mArjAraganDikA VAniG_11d
   parvaṇī vaṃśapatrikā VAnigh_106d	parvaNI vaMSapatrikA VAniG_106d
   parvamañjarikā kīṭa- VAnigh_277c	parvamaQjarikA kIwa Va-aniG_277c
   palaṃkaṣā mūlakaṃ ca VAnigh_255a	palaMkazA mUlakam ca Va-aniG_255a
   palaṃ māṃsaṃ śoṇitotthaṃ VAnigh_374a	palam mAMsam SoNita-utTam Va-aniG_374a
   palāṇḍur mukhadūṣaṇaḥ VAnigh_265d	palANxuH muKa-dUzaNaH VAniG_265d
   palāśadhavaśiṃśapāḥ VAnigh_140b	palASa-Dava-SiMSapAH VAniG_140b
   palāśaś chadanaṃ tathā VAnigh_402b	palASaH Cadanam taTA VAniG_402b
   palāśaḥ kiṃśuko vāta- VAnigh_86c	palASaH kiMSukaH vAta Va-aniG_86c
   -palāśmānaḥ śilā dṛṣat VAnigh_379d	-pala-aSmAnaH SilA dRzat VAniG_379d
   pallavastu pravālaḥ syāt VAnigh_402c	pallavaH-tu pravAlaH syAt Va-aniG_402c
   pavanaś ca sadāgatiḥ VAnigh_377d	pavanaH ca sadAgatiH VAniG_377d
   pavitrapattrā maṅgalyā VAnigh_203a	pavitra-pattrA maFgalyA VAniG_203a
   pavitraḥ putrasiddhikṛt VAnigh_247b	pavitraH putra-sidDi-kRt VAniG_247b
   pākalaṃ vāri bhāvyaṃ ca VAnigh_168c	pAkalam vAri BAvyam ca Va-aniG_168c
   pāṭalī dīrghavṛttā ca VAnigh_71c	pAwalI dIrGa-vRttA ca Va-aniG_71c
   pāṭhārāmaṭhareṇukāgajakaṇāsiddhārthacitroṣaṇaiḥ VAnigh_30b	pAWA-rAmaWa-reNu-kA-gaja-kaNA-sidDArTa-citra-UzaNEH VAniG_30b
   pāṇḍurogaṃ pramehaṃ ca VAnigh_80c	pANxu-rogam prameham ca Va-aniG_80c
   pānīyam ambu salilaṃ VAnigh_323a	pAnIyam ambu salilam Va-aniG_323a
   pānīyavallī suṣavī VAnigh_77a	pAnIyavallI suzavI VAniG_77a
   pānīyo bījavṛkṣas tu VAnigh_204a	pAnIyaH bIjavRkzaH tu Va-aniG_204a
   pāyād dhanvantaristathā VAnigh_407d	pAyAt DanvantariH-taTA VAniG_407d
   pārado rasadhātuś ca VAnigh_289c	pAradaH rasaDAtuH ca Va-aniG_289c
   pārāvatapadī ca sā VAnigh_225d	pArAvatapadI ca sA VAniG_225d
   pārāvataṃ raivatakaṃ VAnigh_273c	pArAvatam rEvatakam Va-aniG_273c
   pārāvataḥ kalaravo VAnigh_351c	pArAvataH kala-ravaH Va-aniG_351c
   pārijātaś ca rohītaḥ VAnigh_212c	pArijAtaH ca rohItaH VAniG_212c
   pārtho 'rjunaḥ śvetavāhaḥ VAnigh_82c	pArTaH arjunaH SvetavAhaH VAniG_82c
   pārvako vṛkadhūmakaḥ VAnigh_278d	pArvakaH vRkaDUmakaH VAniG_278d
   pārvataṃ śailaniryāsaḥ VAnigh_102c	pArvatam SElaniryAsaH VAniG_102c
   pārvatī caṇḍikāmbikā VAnigh_397b	pArvatI caNxikA-ambikA VAniG_397b
   pālinī bhayanāśinī VAnigh_209d	pAlinI Baya-nASinI VAniG_209d
   pāṣāṇaprastaragrāvo- VAnigh_379c	pAzANa-prastara-grAvo VAniG_379c
   piṅgadṛṣṭir mṛgādanaḥ VAnigh_347b	piFga-dRzwiH mRgAdanaH VAniG_347b
   picukaḥ śitivārakaḥ VAnigh_111b	picukaH SitivArakaH VAniG_111b
   picumāndaḥ śukapriyaḥ VAnigh_67b	picumAndaH SukapriyaH VAniG_67b
   picchā māṃsodbhavaṃ medo VAnigh_374c	picCA mAMsa-udBavam medaH VAniG_374c
   piṭikākoṭhanāśanaḥ VAnigh_180d	piwikA-koWa-nASanaH VAniG_180d
   piṇḍītaḥ karahāṭakaḥ VAnigh_77d	piNxItaH karahAwakaH VAniG_77d
   piṇḍī turuṣkajaṃ tailaṃ VAnigh_182c	piNxI turuzka-jam tElam Va-aniG_182c
   pittaśleṣmajvaracchardi- VAnigh_66c	pitta-Slezma-jvara=-Cardi VAniG_66c
   pinākī pramathādhipaḥ VAnigh_393b	pinAkI pramaTa-aDipaH VAniG_393b
   pippalī māgadhī kṛṣṇā VAnigh_31a	pippalI mAgaDI kRzNA Va-aniG_31a
   pirāyākaṃ kṛtrimaṃ kapiḥ VAnigh_182d	pirAyAkam kRtrimam kapiH VAniG_182d
   piśācī naladaṃ māṃsī VAnigh_58c	piSAcI naladam mAMsI Va-aniG_58c
   piśācī siṃhavinnā ca VAnigh_12c	piSAcI siMhavinnA ca Va-aniG_12c
   piśitaṃ kravyam āmiṣam VAnigh_374b	piSitam kravyam Amizam VAniG_374b
