   1.03.010 yathā-saṃkhyam anudeśaḥ samānām	1.03.010 yaTA--saMKyam anu-deSaH samAnAm
   1.03.011 svaritena=adhikāraḥ	1.03.011 svaritena-=aDikAraH
   1.03.012 anudātta-Ṅ-ITa ātmanepadam	1.03.012 anudAtta--Ṅ-ITaH Atmanepadam
   1.03.013 bhāva-karmaṇoḥ	1.03.013 BAva--karmaNoH
   1.03.014 kartari karma-vyatiare	1.03.014 kartari karma--vyatiare
   1.03.015 na gati-hiṃsā=arthebhyaḥ	1.03.015 na gati--hiMsA-=arTeByaH
   1.03.016 itaretara=anyonya=upapadāt=ca	1.03.016 itaretara=anyonya-=upapadAt-=ca
   1.03.017 ner viśaḥ	1.03.017 neH viSaH
   1.03.018 pari-vi=avebhyaḥ kriyaḥ	1.03.018 pari-vi=aveByaH kriyaH
   1.03.019 vi-parā-bhyāṃ je-ḥ	1.03.019 vi-parA-ByAm je-H
   1.03.020 āṄo daḥ=an-āsya-viharaṇe	1.03.020 AṄaH daH=an-Asya--viharaNe
   1.03.021 krīḍaḥ=anu-sam-paribhyaś ca	1.03.021 krIxaH-=anu--sam--pariByaH ca
   1.03.022 sam=ava-pra-vibhyaḥ shtaḥ	1.03.022 sam=ava--pra-viByaH shtaH
   1.03.023 prakāśana=stheya=ākhyayoḥ	1.03.023 prakASana=-sTeya=AKyayoH
   1.03.024 udaḥ=an-ūrdhva-karmaṇi	1.03.024 udaH=an--UrDva-karmaNi
   1.03.025 upāt=mantra-karaṇe	1.03.025 upAt=mantra-karaNe
   1.03.026 a-karmakāt=ca	1.03.026 a-karmakAt-=ca
   1.03.027 ud-vibhyām tapaḥ	1.03.027 ud-viByAm tapaH
   1.03.028 āṄo yama-hanaḥ	1.03.028 AṄaH yama--hanaH
   1.03.029 samo gami=ṛcchi-pracchi-svarati=arti-śru-vidibhyaḥ	1.03.029 samaH gami=Rt-Ci-pracCi-su-arati-=arti-Sru--vidiByaH
   1.03.030 ni-sam-upa-vihhyo hvaḥ	1.03.030 ni-sam-upa-vihhyaH hvaH
   1.03.031 spardhāyām āṄaḥ	1.03.031 sparDAyAm AṄaH
   gandhana=avakṣepaṇa-sevana-sāhasikya-pratiyatna-prakathana=upayogeṣu kṛÑaḥ	ganDana-=ava-kzepaNa-sevana--sAhasikya--pratiyatna--prakaTana-=upayogezu kRÑaH
   1.03.033 adheḥ prasahane	1.03.033 aDeH prasahane
   1.03.034 veḥ śabda-karmaṇaḥ	1.03.034 veH Sabda-karmaNaH
   1.03.035 akarmakāt=ca	1.03.035 akarmakAt-=ca
   1.03.036 sammānana=utsañjana=ācāryakaraṇa-jñāna-bhṛti-vigaṇana-vyayeṣu	1.03.036 sammAnana-=utsaQjana=AcArya-karaNa--jQAna--BRti-vigaNana--vyayezu
   niyaḥ	niyaH
   1.03.037 kartṛsthe ca=a-śarīre karmaṇi	1.03.037 kartR-sTe ca=a--SarIre karmaNi
   1.03.038 vṛtti-sarga-tātyaneṣu kramaḥ	1.03.038 vRtti-sarga-tA-atyanezu kramaH
   1.03.039 upa-parābhyām	1.03.039 upa-parAByAm
   1.03.040 āṄa udgamane	1.03.040 AṄaH udgamane
   1.03.041 veḥ pāda-viharaṇe	1.03.041 veH pAda--viharaNe
   1.03.042 pra=upābhyām sam-arthā-bhyām	1.03.042 pra=upAByAm sam-arTA-ByAm
   1.03.043 an-upasargād vā	1.03.043 an-upasargAt vA
   1.03.044 apahnave jñaḥ	1.03.044 apahnave jQaH
   1.03.045 a-karmakā=ca	1.03.045 a-karmakA=-ca
   1.03.046 sam-pratibhyām an-ā-dhyāne	1.03.046 sam--pratiByAm an-A--DyAne
   1.03.047 bhāsana=upasambhāṣā-jñāna-yatna-vimati-upamantraṇeṣu vadaḥ	1.03.047 BAsana-=upasamBAzA--jQAna--yatna--vimati--upa-mantraNezu vadaH
   1.03.048 vyaktavācām samuccāraṇe	1.03.048 vyakta-vAcAm samuccAraNe
   1.03.049 anor a-karmakāt	1.03.049 anoH a-karmakAt-
   1.03.050 vibhāṣā vi-pra-lāpe	1.03.050 viBAzA vi-pra-lApe
   1.03.051 avād graḥ	1.03.051 avAt graH
   1.03.052 samaḥ pratijñāne	1.03.052 samaH pratijQAne
   1.03.053 udaś caraḥ sa-karmakāt	1.03.053 udaH caraH sa-karmakAt-
   1.03.054 samas tṛtīyā-yuktāt	1.03.054 samaH tRtIyA--yuktAt-
   1.03.055 dāṆas ca sā cet=caturty-arthe	1.03.055 dAṆaH ca sA cet=caturti--arTe
   1.03.056 upād yamaḥ sva-karaṇe	1.03.056 upAd yamaH sva--karaNe
   1.03.057 jñā-śru-smṛ-dṛśām saNaḥ	1.03.057 jQA-Sru--smR-dRSAm saNaH
   1.03.058 na=anor jñaḥ	1.03.058 na=anoH jQaH
